index,Date,Price,Open,High,Low,Volume,Percentage_change,Currency_Type
2462,2017-04-14,1177.3,1176.2,1195.4,1162.2,47220.0,0.1,Bitcoin
2463,2017-04-15,1177.0,1177.3,1194.8,841.5,28390.0,-0.03,Bitcoin
2464,2017-04-16,1176.8,1177.0,1188.0,1166.7,18930.0,-0.02,Bitcoin
2465,2017-04-17,1194.0,1176.8,1203.0,1172.8,46480.0,1.46,Bitcoin
2466,2017-04-18,1206.1,1194.0,1213.9,1191.1,52750.0,1.01,Bitcoin
2467,2017-04-19,1215.2,1206.1,1218.2,1194.1,43350.0,0.76,Bitcoin
2468,2017-04-20,1238.1,1215.2,1246.6,1210.7,55200.0,1.88,Bitcoin
2469,2017-04-21,1249.6,1238.1,1257.0,1235.6,41340.0,0.93,Bitcoin
2470,2017-04-22,1240.9,1249.6,1257.0,1215.8,43820.0,-0.7,Bitcoin
2471,2017-04-23,1249.1,1240.9,1256.2,1223.1,42610.0,0.66,Bitcoin
2472,2017-04-24,1248.2,1249.1,1256.4,1234.9,38540.0,-0.08,Bitcoin
2473,2017-04-25,1264.3,1248.2,1272.6,1244.2,43890.0,1.29,Bitcoin
2474,2017-04-26,1286.6,1264.3,1309.2,1263.0,58910.0,1.77,Bitcoin
2475,2017-04-27,1332.9,1286.6,1346.8,1285.3,61770.0,3.6,Bitcoin
2476,2017-04-28,1329.6,1332.9,1356.2,1287.6,77570.0,-0.25,Bitcoin
2477,2017-04-29,1336.3,1329.6,1343.7,1314.2,40970.0,0.5,Bitcoin
2478,2017-04-30,1351.9,1336.3,1358.9,1309.7,40640.0,1.17,Bitcoin
2479,2017-05-01,1415.8,1351.9,1448.7,1342.8,100440.0,4.73,Bitcoin
2480,2017-05-02,1445.9,1415.8,1471.1,1394.8,70010.0,2.13,Bitcoin
2481,2017-05-03,1485.6,1445.9,1496.4,1424.1,81720.0,2.74,Bitcoin
2482,2017-05-04,1516.8,1485.6,1609.8,1437.1,136710.0,2.1,Bitcoin
2483,2017-05-05,1507.8,1516.8,1588.1,1485.0,120380.0,-0.59,Bitcoin
2484,2017-05-06,1545.3,1507.8,1560.4,1503.9,59600.0,2.49,Bitcoin
2485,2017-05-07,1554.4,1545.3,1572.9,1495.2,71360.0,0.59,Bitcoin
2486,2017-05-08,1664.5,1554.4,1667.7,1552.9,107230.0,7.08,Bitcoin
2487,2017-05-09,1697.5,1664.5,1757.4,1620.0,127230.0,1.98,Bitcoin
2488,2017-05-10,1752.3,1697.5,1766.2,1665.0,89680.0,3.23,Bitcoin
2489,2017-05-11,1819.3,1752.3,1864.8,1741.5,109010.0,3.82,Bitcoin
2490,2017-05-12,1686.4,1819.3,1822.5,1641.2,109340.0,-7.31,Bitcoin
2491,2017-05-13,1763.7,1686.4,1770.5,1594.6,75470.0,4.59,Bitcoin
2492,2017-05-14,1772.6,1763.7,1802.8,1736.1,40640.0,0.5,Bitcoin
2493,2017-05-15,1708.9,1772.6,1776.7,1656.8,80240.0,-3.59,Bitcoin
2494,2017-05-16,1729.3,1708.9,1752.6,1653.7,75540.0,1.19,Bitcoin
2495,2017-05-17,1801.3,1729.3,1842.8,1704.0,94620.0,4.16,Bitcoin
2496,2017-05-18,1881.0,1801.3,1980.5,1791.1,73100.0,4.42,Bitcoin
2497,2017-05-19,1962.0,1881.0,1969.7,1875.3,98760.0,4.31,Bitcoin
2498,2017-05-20,2040.2,1962.0,2048.4,1944.4,89860.0,3.98,Bitcoin
2499,2017-05-21,2044.2,2040.2,2094.9,1980.1,78780.0,0.2,Bitcoin
2500,2017-05-22,2124.4,2044.2,2264.8,1998.6,174380.0,3.92,Bitcoin
2501,2017-05-23,2272.6,2124.4,2286.3,2110.8,114180.0,6.97,Bitcoin
2502,2017-05-24,2445.3,2272.6,2497.0,2263.3,149260.0,7.6,Bitcoin
2503,2017-05-25,2307.2,2445.3,2781.8,2210.5,248440.0,-5.65,Bitcoin
2504,2017-05-26,2244.9,2307.0,2616.5,2051.4,191490.0,-2.7,Bitcoin
2505,2017-05-27,2052.4,2244.9,2322.4,1868.6,222950.0,-8.57,Bitcoin
2506,2017-05-28,2189.0,2052.4,2300.5,2051.1,125000.0,6.66,Bitcoin
2507,2017-05-29,2278.2,2189.0,2337.4,2117.3,92240.0,4.07,Bitcoin
2508,2017-05-30,2192.6,2278.2,2329.3,2147.1,120960.0,-3.76,Bitcoin
2509,2017-05-31,2303.3,2192.6,2330.6,2168.4,117750.0,5.05,Bitcoin
2510,2017-06-01,2412.6,2303.3,2460.8,2303.3,122700.0,4.75,Bitcoin
2511,2017-06-02,2492.6,2412.6,2494.0,2385.6,83030.0,3.31,Bitcoin
2512,2017-06-03,2545.4,2492.6,2582.8,2449.9,70960.0,2.12,Bitcoin
2513,2017-06-04,2524.1,2545.4,2559.8,2478.2,59480.0,-0.84,Bitcoin
2514,2017-06-05,2705.0,2524.1,2705.4,2523.9,86690.0,7.17,Bitcoin
2515,2017-06-06,2870.5,2705.0,2931.2,2699.7,192230.0,6.12,Bitcoin
2516,2017-06-07,2691.5,2870.5,2880.9,2626.6,122680.0,-6.24,Bitcoin
2517,2017-06-08,2798.8,2691.5,2808.4,2623.6,95420.0,3.99,Bitcoin
2518,2017-06-09,2811.4,2798.8,2852.1,2786.1,67050.0,0.45,Bitcoin
2519,2017-06-10,2900.3,2811.4,2914.2,2807.4,86520.0,3.16,Bitcoin
2520,2017-06-11,2973.4,2900.3,2977.9,2867.3,83030.0,2.52,Bitcoin
2521,2017-06-12,2656.8,2973.4,2985.1,2483.6,217960.0,-10.65,Bitcoin
2522,2017-06-13,2713.0,2656.8,2784.8,2647.4,116740.0,2.12,Bitcoin
2523,2017-06-14,2467.3,2713.0,2803.7,2349.0,174190.0,-9.06,Bitcoin
2524,2017-06-15,2442.5,2467.3,2521.6,2125.6,262790.0,-1.01,Bitcoin
2525,2017-06-16,2508.6,2442.5,2536.4,2335.3,117210.0,2.71,Bitcoin
2526,2017-06-17,2655.1,2508.6,2690.7,2454.8,95950.0,5.84,Bitcoin
2527,2017-06-18,2539.6,2655.1,2676.0,2488.6,92000.0,-4.35,Bitcoin
2528,2017-06-19,2616.8,2539.6,2617.8,2518.8,81830.0,3.04,Bitcoin
2529,2017-06-20,2754.4,2616.8,2800.5,2614.0,111300.0,5.26,Bitcoin
2530,2017-06-21,2677.6,2754.4,2804.4,2624.4,116030.0,-2.79,Bitcoin
2531,2017-06-22,2722.8,2677.6,2757.3,2623.2,78300.0,1.69,Bitcoin
2532,2017-06-23,2710.4,2722.8,2759.7,2699.5,56940.0,-0.46,Bitcoin
2533,2017-06-24,2590.1,2710.4,2741.6,2540.4,86960.0,-4.44,Bitcoin
2534,2017-06-25,2541.6,2590.1,2660.7,2472.4,86970.0,-1.87,Bitcoin
2535,2017-06-26,2446.1,2541.6,2584.8,2327.3,165830.0,-3.76,Bitcoin
2536,2017-06-27,2583.8,2446.1,2585.1,2309.6,159260.0,5.63,Bitcoin
2537,2017-06-28,2577.7,2583.8,2616.9,2490.1,110420.0,-0.23,Bitcoin
2538,2017-06-29,2558.4,2577.7,2605.9,2526.5,75320.0,-0.75,Bitcoin
2539,2017-06-30,2480.6,2558.4,2576.3,2469.5,73000.0,-3.04,Bitcoin
2540,2017-07-01,2424.6,2480.6,2529.6,2387.5,66320.0,-2.26,Bitcoin
2541,2017-07-02,2536.5,2424.6,2555.3,2375.9,67760.0,4.61,Bitcoin
2542,2017-07-03,2572.5,2536.5,2617.5,2506.3,83420.0,1.42,Bitcoin
2543,2017-07-04,2617.3,2572.5,2658.7,2570.0,80680.0,1.74,Bitcoin
2544,2017-07-05,2627.9,2617.3,2642.7,2562.0,89720.0,0.4,Bitcoin
2545,2017-07-06,2614.2,2627.9,2634.8,2581.8,60160.0,-0.52,Bitcoin
2546,2017-07-07,2513.9,2614.2,2617.5,2484.7,90450.0,-3.84,Bitcoin
2547,2017-07-08,2564.9,2513.9,2568.7,2480.6,54510.0,2.03,Bitcoin
2548,2017-07-09,2511.4,2564.9,2576.7,2509.6,39160.0,-2.08,Bitcoin
2549,2017-07-10,2344.0,2511.4,2530.3,2271.8,123800.0,-6.67,Bitcoin
2550,2017-07-11,2324.3,2344.0,2412.8,2265.5,146630.0,-0.84,Bitcoin
2551,2017-07-12,2403.1,2324.3,2424.8,2262.1,109520.0,3.39,Bitcoin
2552,2017-07-13,2362.4,2403.1,2436.7,2335.0,88170.0,-1.69,Bitcoin
2553,2017-07-14,2234.2,2362.4,2370.5,2165.4,114410.0,-5.43,Bitcoin
2554,2017-07-15,1975.1,2234.2,2237.1,1974.0,155320.0,-11.6,Bitcoin
2555,2017-07-16,1914.1,1975.1,2044.4,1809.0,189640.0,-3.09,Bitcoin
2556,2017-07-17,2233.4,1914.1,2233.8,1913.8,176890.0,16.68,Bitcoin
2557,2017-07-18,2320.2,2233.4,2400.7,2164.6,202620.0,3.89,Bitcoin
2558,2017-07-19,2282.6,2320.2,2412.4,2243.1,154320.0,-1.62,Bitcoin
2559,2017-07-20,2866.0,2282.6,2932.8,2282.1,310340.0,25.56,Bitcoin
2560,2017-07-21,2675.1,2866.0,2874.0,2622.5,193760.0,-6.66,Bitcoin
2561,2017-07-22,2836.5,2675.1,2876.7,2658.6,121920.0,6.04,Bitcoin
2562,2017-07-23,2756.6,2836.5,2856.7,2675.6,108230.0,-2.82,Bitcoin
2563,2017-07-24,2763.4,2756.6,2798.9,2715.7,83010.0,0.25,Bitcoin
2564,2017-07-25,2582.6,2763.4,2779.1,2472.6,205880.0,-6.54,Bitcoin
